"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"6173",3055794794,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6174",3055805528,3,0,2,0,1,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0
"6175",3055807684,4,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,2,0,0,0
"6176",3055810674,3,0,0,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"6177",3055812730,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6178",3055814582,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6179",3055815980,4,0,0,1,0,2,0,0,1,0,1,0,0,0,1,1,1,0,0,0
"6180",3055819142,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6181",3055803668,3,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"6182",3055807224,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0
"6183",3055827674,3,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"6184",3055810622,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6185",3055811368,4,0,0,1,0,1,2,0,1,1,0,0,0,1,0,1,2,0,0,0
"6186",3055830304,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6187",3055815438,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6188",3055816446,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6189",3055817620,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6190",3055818630,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6191",3055847758,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"6192",3055849198,4,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,2,0,0,0
"6193",3055825146,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6194",3055826924,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6195",3055851996,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6196",3055855080,4,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0
"6197",3055857860,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6198",3055858552,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6199",3055860456,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6200",3055862926,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6201",3055864298,2,2,0,0,0,3,1,1,3,1,1,1,0,1,1,0,1,0,0,0
"6202",3055855606,4,0,0,0,0,1,0,2,1,1,1,0,0,1,1,0,1,0,0,0
"6203",3055858832,3,1,1,0,0,1,0,0,3,1,0,0,0,1,1,0,1,0,0,0
"6204",3055862352,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6205",3055863000,4,0,0,0,0,0,2,0,1,1,0,1,0,1,0,1,1,0,0,0
"6206",3055865232,3,1,1,0,0,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0
"6207",3055868086,3,0,1,0,1,3,0,0,2,0,1,1,0,0,1,1,0,0,0,1
"6208",3055871532,4,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,2,0,0,0
"6209",3055875466,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6210",3055876218,3,1,0,0,0,0,0,0,3,1,1,1,0,1,1,0,1,0,0,0
"6211",3055879962,4,0,0,0,0,1,2,0,1,1,0,1,0,1,0,1,1,0,0,0
"6212",3055883720,3,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0
"6213",3055886858,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"6214",3055888430,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6215",3055889026,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6216",3055905536,3,0,2,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"6217",3055917694,3,1,0,0,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,0
"6218",3055924678,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6219",3055925268,4,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0
"6220",3055930218,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"6221",3055933778,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6222",3055935474,4,0,0,0,0,0,1,2,1,1,1,0,0,1,1,0,1,1,0,0
"6223",3055939368,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6224",3055958144,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"6225",3055960186,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6226",3055962376,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6227",3055963384,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6228",3055964812,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6229",3055965646,4,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0
"6230",3055972062,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6231",3055973566,3,1,1,0,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0
"6232",3055986082,4,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0
"6233",3055976688,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6234",3055990632,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6235",3055977416,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6236",3055991362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6237",3055992352,4,0,0,0,0,1,2,1,1,1,0,1,0,1,0,1,1,0,0,0
"6238",3055979428,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6239",3055982178,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6240",3055995574,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6241",3055983506,4,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0
"6242",3055996510,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6243",3055987870,4,0,1,0,0,1,0,0,2,1,0,0,0,1,1,0,1,0,0,0
"6244",3055990378,4,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"6245",3056003682,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6246",3055991678,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0
"6247",3056004638,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6248",3056006014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6249",3056007406,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6250",3056008594,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6251",3055993722,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6252",3056009792,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6253",3055994986,4,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"6254",3056011914,4,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1
