"","id","pot","board","sb","bb","utg","p4","p5","d","end_stage","winner"
"4480",3040063920,35,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","pocket","p5"
"4481",3040065278,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","pocket","p5"
"4482",3040066738,25,"3s 7c 3d","Folded on the POCKET CARDS","Folded on the FLOP","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","flop","p4"
"4483",3040069310,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","utg"
"4484",3040070094,65,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"4485",3040071428,54,"Js 5s Jd","Folded on the FLOP","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","flop","d"
"4486",3040073566,3590,"7c Jc Jh Ad 3d","Folded on the RIVER","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","river","p4"
"4487",3040078736,259,"8c 7c 9c Qs 2d","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the RIVER","river","utg"
"4488",3040082010,265,"4d 7d 6s","Folded on the FLOP","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the FLOP","flop","p5"
"4489",3040086902,15,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"4490",3040106996,90,"6d 10d 7c Jd","Won","Folded on the TURN","Folded on the TURN","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","turn","sb"
"4491",3040109740,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","p4"
"4492",3040110704,210,"9s 2c 7c 6s","Won","Folded on the TURN","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the TURN","turn","sb"
"4493",3040113766,565,"Ah 2c 3d 8h Js","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the RIVER","Won","river","d"
"4494",3040118026,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","pocket","d"
"4495",3040118966,145,"Qh Qc Kh","Folded on the FLOP","Folded on the POCKET CARDS","Folded on the FLOP","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","flop","p4"
"4496",3040122128,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","pocket","d"
"4497",3040123130,15,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"4498",3040150590,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","pocket","d"
"4499",3040151868,65,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
"4500",3040153262,25,"","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","pocket","p5"
"4501",3040154102,15,"","Folded on the POCKET CARDS","Won","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","Folded on the POCKET CARDS","pocket","bb"
